id,name,week,proj,act,leagueId,year
4241389,CeeDee Lamb,2,20.31,19.0,0,2024
4241389,CeeDee Lamb,1,20.3,13.6,0,2024
4241389,CeeDee Lamb,4,19.43,23.6,0,2024
4241389,CeeDee Lamb,3,21.12,8.7,0,2024
4241389,CeeDee Lamb,6,19.13,,0,2024
4241389,CeeDee Lamb,5,20.93,11.4,0,2024
3054850,Alvin Kamara,2,16.51,44.0,0,2024
3054850,Alvin Kamara,1,17.69,22.0,0,2024
3054850,Alvin Kamara,4,18.97,24.9,0,2024
3054850,Alvin Kamara,3,21.43,15.7,0,2024
3054850,Alvin Kamara,6,18.65,,0,2024
3054850,Alvin Kamara,5,19.63,12.6,0,2024
4430737,Kyren Williams,2,20.23,15.2,0,2024
4430737,Kyren Williams,1,15.69,14.4,0,2024
4430737,Kyren Williams,4,18.98,20.4,0,2024
4430737,Kyren Williams,3,18.76,31.6,0,2024
4430737,Kyren Williams,6,0.0,,0,2024
4430737,Kyren Williams,5,20.46,15.5,0,2024
4242335,Jonathan Taylor,2,18.83,15.5,0,2024
4242335,Jonathan Taylor,1,16.75,10.8,0,2024
4242335,Jonathan Taylor,4,17.93,19.8,0,2024
4242335,Jonathan Taylor,3,17.65,26.5,0,2024
4242335,Jonathan Taylor,6,17.68,,0,2024
4242335,Jonathan Taylor,5,0.0,0.0,0,2024
3929630,Saquon Barkley,2,18.2,17.6,0,2024
3929630,Saquon Barkley,1,17.31,33.2,0,2024
3929630,Saquon Barkley,4,19.66,13.6,0,2024
3929630,Saquon Barkley,3,17.15,33.6,0,2024
3929630,Saquon Barkley,6,19.22,,0,2024
3929630,Saquon Barkley,5,0.0,,0,2024
4595348,Malik Nabers,2,13.5,28.7,0,2024
4595348,Malik Nabers,1,13.98,11.6,0,2024
4595348,Malik Nabers,4,18.71,23.1,0,2024
4595348,Malik Nabers,3,14.4,28.2,0,2024
4595348,Malik Nabers,6,21.68,,0,2024
4595348,Malik Nabers,5,0.0,0.0,0,2024
4262921,Justin Jefferson,2,18.48,23.3,0,2024
4262921,Justin Jefferson,1,18.13,15.9,0,2024
4262921,Justin Jefferson,4,18.37,20.5,0,2024
4262921,Justin Jefferson,3,18.77,20.1,0,2024
4262921,Justin Jefferson,6,0.0,,0,2024
4262921,Justin Jefferson,5,16.92,15.2,0,2024
3116406,Tyreek Hill,2,21.58,6.6,0,2024
3116406,Tyreek Hill,1,19.69,26.0,0,2024
3116406,Tyreek Hill,4,13.32,8.2,0,2024
3116406,Tyreek Hill,3,15.81,7.0,0,2024
3116406,Tyreek Hill,6,0.0,,0,2024
3116406,Tyreek Hill,5,13.08,12.9,0,2024
4258173,Nico Collins,2,14.88,27.5,0,2024
4258173,Nico Collins,1,14.48,17.7,0,2024
4258173,Nico Collins,4,17.39,33.1,0,2024
4258173,Nico Collins,3,16.53,12.6,0,2024
4258173,Nico Collins,6,0.0,,0,2024
4258173,Nico Collins,5,17.88,15.8,0,2024
4374302,Amon-Ra St. Brown,2,18.33,22.9,0,2024
4374302,Amon-Ra St. Brown,1,19.41,4.3,0,2024
4374302,Amon-Ra St. Brown,4,15.49,20.78,0,2024
4374302,Amon-Ra St. Brown,3,17.98,20.5,0,2024
4374302,Amon-Ra St. Brown,6,17.05,,0,2024
4374302,Amon-Ra St. Brown,5,0.0,,0,2024
4432708,Marvin Harrison Jr.,2,14.6,29.0,0,2024
4432708,Marvin Harrison Jr.,1,15.4,1.4,0,2024
4432708,Marvin Harrison Jr.,4,16.43,15.5,0,2024
4432708,Marvin Harrison Jr.,3,15.48,17.4,0,2024
4432708,Marvin Harrison Jr.,6,14.46,,0,2024
4432708,Marvin Harrison Jr.,5,15.95,5.6,0,2024
3117251,Christian McCaffrey,2,0.0,0.0,0,2024
3117251,Christian McCaffrey,1,0.0,0.0,0,2024
3117251,Christian McCaffrey,4,0.0,0.0,0,2024
3117251,Christian McCaffrey,3,0.0,0.0,0,2024
3117251,Christian McCaffrey,6,0.0,,0,2024
3117251,Christian McCaffrey,5,0.0,0.0,0,2024
4427366,Breece Hall,2,22.17,24.4,0,2024
4427366,Breece Hall,1,17.94,18.3,0,2024
4427366,Breece Hall,4,19.92,3.8,0,2024
4427366,Breece Hall,3,21.25,18.3,0,2024
4427366,Breece Hall,6,16.7,,0,2024
4427366,Breece Hall,5,16.69,6.7,0,2024
4430807,Bijan Robinson,2,22.21,16.2,0,2024
4430807,Bijan Robinson,1,18.56,16.1,0,2024
4430807,Bijan Robinson,4,20.12,11.4,0,2024
4430807,Bijan Robinson,3,20.85,13.2,0,2024
4430807,Bijan Robinson,6,18.21,,0,2024
4430807,Bijan Robinson,5,17.54,10.7,0,2024
4047646,A.J. Brown,2,0.0,0.0,0,2024
4047646,A.J. Brown,1,17.19,22.9,0,2024
4047646,A.J. Brown,4,0.0,0.0,0,2024
4047646,A.J. Brown,3,0.0,0.0,0,2024
4047646,A.J. Brown,6,15.18,,0,2024
4047646,A.J. Brown,5,0.0,,0,2024
4429160,De'Von Achane,2,17.03,29.5,0,2024
4429160,De'Von Achane,1,13.99,23.0,0,2024
4429160,De'Von Achane,4,16.63,5.9,0,2024
4429160,De'Von Achane,3,18.71,8.8,0,2024
4429160,De'Von Achane,6,0.0,,0,2024
4429160,De'Von Achane,5,15.8,2.7,0,2024
3043078,Derrick Henry,2,16.41,16.6,0,2024
3043078,Derrick Henry,1,14.74,10.6,0,2024
3043078,Derrick Henry,4,15.3,35.9,0,2024
3043078,Derrick Henry,3,15.1,30.4,0,2024
3043078,Derrick Henry,6,18.2,,0,2024
3043078,Derrick Henry,5,18.84,16.6,0,2024
3126486,Deebo Samuel Sr.,2,19.17,18.0,0,2024
3126486,Deebo Samuel Sr.,1,16.18,18.7,0,2024
3126486,Deebo Samuel Sr.,4,14.62,10.2,0,2024
3126486,Deebo Samuel Sr.,3,0.0,0.0,0,2024
3126486,Deebo Samuel Sr.,6,16.31,,0,2024
3126486,Deebo Samuel Sr.,5,16.64,3.0,0,2024
4426502,Drake London,2,15.21,17.4,0,2024
4426502,Drake London,1,14.36,3.5,0,2024
4426502,Drake London,4,13.82,12.4,0,2024
4426502,Drake London,3,14.14,18.7,0,2024
4426502,Drake London,6,19.62,,0,2024
4426502,Drake London,5,15.29,33.4,0,2024
4362628,Ja'Marr Chase,2,18.91,7.5,0,2024
4362628,Ja'Marr Chase,1,16.66,12.2,0,2024
4362628,Ja'Marr Chase,4,18.0,17.5,0,2024
4362628,Ja'Marr Chase,3,18.68,29.8,0,2024
4362628,Ja'Marr Chase,6,18.35,,0,2024
4362628,Ja'Marr Chase,5,16.22,41.3,0,2024
3116165,Chris Godwin,2,14.82,24.7,0,2024
3116165,Chris Godwin,1,13.89,22.3,0,2024
3116165,Chris Godwin,4,15.8,12.9,0,2024
3116165,Chris Godwin,3,15.06,17.3,0,2024
3116165,Chris Godwin,6,15.73,,0,2024
3116165,Chris Godwin,5,15.48,11.6,0,2024
2977187,Cooper Kupp,2,19.17,7.7,0,2024
2977187,Cooper Kupp,1,14.77,32.0,0,2024
2977187,Cooper Kupp,4,0.0,0.0,0,2024
2977187,Cooper Kupp,3,0.0,0.0,0,2024
2977187,Cooper Kupp,6,0.0,,0,2024
2977187,Cooper Kupp,5,0.0,0.0,0,2024
4047650,DK Metcalf,2,13.97,28.9,0,2024
4047650,DK Metcalf,1,13.94,5.9,0,2024
4047650,DK Metcalf,4,15.74,15.4,0,2024
4047650,DK Metcalf,3,14.32,20.4,0,2024
4047650,DK Metcalf,6,15.03,,0,2024
4047650,DK Metcalf,5,15.14,7.5,0,2024
3042519,Aaron Jones,2,12.54,9.8,0,2024
3042519,Aaron Jones,1,13.65,18.9,0,2024
3042519,Aaron Jones,4,16.83,17.9,0,2024
3042519,Aaron Jones,3,14.19,25.8,0,2024
3042519,Aaron Jones,6,0.0,,0,2024
3042519,Aaron Jones,5,17.67,6.3,0,2024
4426348,Jayden Daniels,2,19.75,13.44,0,2024
4426348,Jayden Daniels,1,17.82,28.16,0,2024
4426348,Jayden Daniels,4,22.08,24.02,0,2024
4426348,Jayden Daniels,3,18.14,28.06,0,2024
4426348,Jayden Daniels,6,24.67,,0,2024
4426348,Jayden Daniels,5,23.22,19.72,0,2024
3918298,Josh Allen,2,21.06,9.76,0,2024
3918298,Josh Allen,1,23.63,31.18,0,2024
3918298,Josh Allen,4,21.45,7.3,0,2024
3918298,Josh Allen,3,21.54,30.92,0,2024
3918298,Josh Allen,6,18.12,,0,2024
3918298,Josh Allen,5,20.36,14.64,0,2024
3916387,Lamar Jackson,2,20.89,16.38,0,2024
3916387,Lamar Jackson,1,20.23,25.12,0,2024
3916387,Lamar Jackson,4,19.84,23.64,0,2024
3916387,Lamar Jackson,3,19.9,25.98,0,2024
3916387,Lamar Jackson,6,22.32,,0,2024
3916387,Lamar Jackson,5,21.84,33.42,0,2024
4426515,Puka Nacua,2,0.0,0.0,0,2024
4426515,Puka Nacua,1,17.15,8.2,0,2024
