team_name,team_id,position,rank,average,year
Atl,1,QB,17,16.72,2024
Buf,2,QB,10,14.24,2024
Chi,3,QB,1,7.556,2024
Cin,4,QB,28,19.631999999999998,2024
Cle,5,QB,9,13.788,2024
Dal,6,QB,19,16.880000000000003,2024
Den,7,QB,6,11.756,2024
Det,8,QB,22,17.465000000000003,2024
GB,9,QB,12,14.556000000000001,2024
Ten,10,QB,13,14.895,2024
Ind,11,QB,30,20.436,2024
KC,12,QB,16,15.796000000000001,2024
LV,13,QB,21,17.336000000000002,2024
LAR,14,QB,25,18.108,2024
Mia,15,QB,3,8.5,2024
Min,16,QB,11,14.356,2024
NE,17,QB,8,13.612,2024
NO,18,QB,4,10.940000000000001,2024
NYG,19,QB,18,16.78,2024
NYJ,20,QB,2,7.928,2024
Phi,21,QB,23,17.700000000000003,2024
Ari,22,QB,24,17.892000000000003,2024
Pit,23,QB,7,12.228,2024
LAC,24,QB,5,11.035,2024
SF,25,QB,14,15.719999999999999,2024
Sea,26,QB,15,15.776000000000002,2024
TB,27,QB,31,21.392000000000003,2024
Wsh,28,QB,26,18.372,2024
Car,29,QB,27,18.596,2024
Jax,30,QB,32,23.092,2024
Bal,33,QB,29,19.82,2024
Hou,34,QB,20,17.216,2024
Atl,1,RB,6,18.360000000000003,2024
Buf,2,RB,32,34.3,2024
Chi,3,RB,23,24.060000000000002,2024
Cin,4,RB,20,23.1,2024
Cle,5,RB,15,21.28,2024
Dal,6,RB,26,25.920000000000005,2024
Den,7,RB,10,20.34,2024
Det,8,RB,3,17.625,2024
GB,9,RB,17,21.96,2024
Ten,10,RB,11,20.525,2024
Ind,11,RB,24,24.740000000000002,2024
KC,12,RB,1,14.38,2024
LV,13,RB,28,26.74,2024
LAR,14,RB,27,26.339999999999996,2024
Mia,15,RB,30,27.8,2024
Min,16,RB,2,15.580000000000002,2024
NE,17,RB,22,23.92,2024
NO,18,RB,12,20.720000000000002,2024
NYG,19,RB,13,20.96,2024
NYJ,20,RB,8,18.8,2024
Phi,21,RB,14,21.275,2024
Ari,22,RB,25,25.18,2024
Pit,23,RB,4,17.720000000000002,2024
LAC,24,RB,9,19.475,2024
SF,25,RB,16,21.419999999999998,2024
Sea,26,RB,18,22.360000000000003,2024
TB,27,RB,21,23.520000000000003,2024
Wsh,28,RB,19,22.46,2024
Car,29,RB,31,31.580000000000002,2024
Jax,30,RB,29,27.28,2024
Bal,33,RB,5,18.04,2024
Hou,34,RB,7,18.44,2024
Atl,1,WR,20,33.82000000000001,2024
Buf,2,WR,5,24.76,2024
Chi,3,WR,7,25.839999999999996,2024
Cin,4,WR,17,33.2,2024
Cle,5,WR,22,34.220000000000006,2024
Dal,6,WR,9,28.439999999999998,2024
Den,7,WR,2,21.560000000000002,2024
Det,8,WR,31,45.75,2024
GB,9,WR,24,37.160000000000004,2024
Ten,10,WR,1,19.775000000000002,2024
Ind,11,WR,25,37.2,2024
KC,12,WR,8,27.560000000000002,2024
LV,13,WR,13,31.660000000000004,2024
LAR,14,WR,18,33.4,2024
Mia,15,WR,4,23.14,2024
Min,16,WR,30,44.74400000000001,2024
NE,17,WR,19,33.7,2024
NO,18,WR,21,33.94,2024
NYG,19,WR,15,32.56,2024
NYJ,20,WR,6,24.8,2024
Phi,21,WR,29,44.025,2024
Ari,22,WR,16,32.760000000000005,2024
Pit,23,WR,12,30.46,2024
LAC,24,WR,3,23.075,2024
SF,25,WR,10,29.0,2024
Sea,26,WR,11,30.356,2024
TB,27,WR,27,40.28,2024
Wsh,28,WR,26,40.2,2024
Car,29,WR,23,35.52,2024
Jax,30,WR,32,46.072,2024
Bal,33,WR,28,43.980000000000004,2024
Hou,34,WR,14,32.18,2024
Atl,1,TE,20,11.040000000000001,2024
Buf,2,TE,16,10.0,2024
Chi,3,TE,8,7.44,2024
Cin,4,TE,26,13.2,2024
Cle,5,TE,6,6.9,2024
Dal,6,TE,11,9.0,2024
Den,7,TE,23,12.48,2024
Det,8,TE,9,8.125,2024
GB,9,TE,24,13.1,2024
Ten,10,TE,1,3.375,2024
Ind,11,TE,31,15.180000000000001,2024
KC,12,TE,32,17.98,2024
LV,13,TE,14,9.42,2024
LAR,14,TE,30,14.9,2024
Mia,15,TE,7,7.42,2024
Min,16,TE,24,13.1,2024
NE,17,TE,18,10.48,2024
NO,18,TE,22,12.22,2024
