league,player_id,availability
RULE,3117251,ONTEAM
RULE,3116406,ONTEAM
RULE,3916148,ONTEAM
RULE,3068267,ONTEAM
RULE,4239996,ONTEAM
RULE,4362628,ONTEAM
RULE,2976212,ONTEAM
RULE,4047646,ONTEAM
RULE,15847,ONTEAM
RULE,15818,ONTEAM
RULE,3054850,ONTEAM
RULE,4567048,ONTEAM
RULE,2977187,ONTEAM
RULE,4047365,ONTEAM
RULE,4374302,ONTEAM
RULE,16460,ONTEAM
RULE,16800,ONTEAM
RULE,16737,ONTEAM
RULE,4242335,ONTEAM
RULE,4430807,ONTEAM
RULE,4426515,ONTEAM
RULE,4241389,ONTEAM
RULE,4569618,ONTEAM
RULE,3916433,ONTEAM
RULE,4372016,ONTEAM
RULE,3139477,ONTEAM
RULE,3916387,ONTEAM
RULE,4040715,ONTEAM
RULE,3929630,ONTEAM
RULE,4427366,ONTEAM
RULE,4361529,ONTEAM
RULE,3043078,ONTEAM
RULE,4259545,ONTEAM
RULE,3116385,ONTEAM
RULE,3915416,ONTEAM
RULE,15795,ONTEAM
RULE,4360438,ONTEAM
RULE,4036133,ONTEAM
RULE,3918298,ONTEAM
RULE,4038941,ONTEAM
RULE,4047650,ONTEAM
RULE,4241372,ONTEAM
RULE,4262921,ONTEAM
RULE,4429615,ONTEAM
RULE,4361370,ONTEAM
RULE,3042519,ONTEAM
RULE,4569173,ONTEAM
RULE,4035538,ONTEAM
RULE,3116365,ONTEAM
RULE,2576414,ONTEAM
RULE,4697815,ONTEAM
RULE,4379399,ONTEAM
RULE,4429795,ONTEAM
RULE,4429160,ONTEAM
RULE,4241479,ONTEAM
RULE,4432577,ONTEAM
RULE,3121422,ONTEAM
RULE,3116165,ONTEAM
RULE,3126486,ONTEAM
RULE,4258173,ONTEAM
RULE,4430737,ONTEAM
RULE,4372019,ONTEAM
RULE,4048244,ONTEAM
RULE,4430027,ONTEAM
RULE,4429205,ONTEAM
RULE,4035687,ONTEAM
RULE,4239993,ONTEAM
RULE,3895856,ONTEAM
RULE,2976499,ONTEAM
RULE,2576925,ONTEAM
RULE,3121023,ONTEAM
RULE,3117256,ONTEAM
RULE,14880,ONTEAM
RULE,4360310,ONTEAM
RULE,4035676,ONTEAM
RULE,4361579,ONTEAM
RULE,3045147,ONTEAM
RULE,4035886,ONTEAM
RULE,4242433,ONTEAM
RULE,4241478,ONTEAM
RULE,4426354,ONTEAM
RULE,2577327,ONTEAM
RULE,3128429,ONTEAM
RULE,3925357,ONTEAM
RULE,4248528,ONTEAM
RULE,3932905,ONTEAM
RULE,4241457,ONTEAM
RULE,4045163,ONTEAM
RULE,3051926,ONTEAM
RULE,4360238,ONTEAM
RULE,4569987,ONTEAM
RULE,3051876,ONTEAM
RULE,3040151,ONTEAM
RULE,3123076,ONTEAM
RULE,4385690,ONTEAM
RULE,4366031,WAIVERS
RULE,4426502,ONTEAM
RULE,4241463,ONTEAM
RULE,2976316,ONTEAM
RULE,15880,WAIVERS
RULE,3121427,WAIVERS
RULE,2577417,ONTEAM
RULE,3915511,ONTEAM
RULE,4361741,ONTEAM
RULE,14881,ONTEAM
RULE,4688813,WAIVERS
RULE,4428331,ONTEAM
RULE,4243537,ONTEAM
RULE,4372414,ONTEAM
RULE,4241474,ONTEAM
RULE,15920,WAIVERS
RULE,4040761,WAIVERS
RULE,4373626,ONTEAM
RULE,4428557,WAIVERS
RULE,4242355,ONTEAM
RULE,4360635,ONTEAM
RULE,3045523,WAIVERS
RULE,3045144,WAIVERS
RULE,4036348,ONTEAM
RULE,16731,WAIVERS
RULE,16733,WAIVERS
RULE,4567156,ONTEAM
RULE,4362887,ONTEAM
