team_name,team_id,position,rank,average,year
Atl,1,QB,18,15.86857142857143,2023
Buf,2,QB,2,10.90857142857143,2023
Chi,3,QB,27,18.105714285714285,2023
Cin,4,QB,10,14.58,2023
Cle,5,QB,7,13.543333333333335,2023
Dal,6,QB,5,13.040000000000001,2023
Den,7,QB,30,20.057142857142857,2023
Det,8,QB,26,17.962857142857143,2023
GB,9,QB,8,14.01,2023
Ten,10,QB,15,15.083333333333334,2023
Ind,11,QB,19,15.922857142857143,2023
KC,12,QB,4,12.962857142857144,2023
LV,13,QB,13,14.84,2023
LAR,14,QB,21,16.314285714285713,2023
Mia,15,QB,29,18.997142857142858,2023
Min,16,QB,23,17.194285714285716,2023
NE,17,QB,9,14.051428571428572,2023
NO,18,QB,6,13.52,2023
NYG,19,QB,14,14.971428571428572,2023
NYJ,20,QB,17,15.64,2023
Phi,21,QB,24,17.214285714285715,2023
Ari,22,QB,28,18.84,2023
Pit,23,QB,16,15.280000000000001,2023
LAC,24,QB,32,23.736666666666668,2023
SF,25,QB,3,11.497142857142856,2023
Sea,26,QB,22,16.623333333333335,2023
TB,27,QB,12,14.746666666666668,2023
Wsh,28,QB,31,20.414285714285715,2023
Car,29,QB,11,14.656666666666666,2023
Jax,30,QB,25,17.674285714285713,2023
Bal,33,QB,1,9.685714285714287,2023
Hou,34,QB,20,16.136666666666667,2023
Atl,1,RB,2,14.557142857142859,2023
Buf,2,RB,22,23.185714285714287,2023
Chi,3,RB,27,25.157142857142862,2023
Cin,4,RB,15,20.080000000000002,2023
Cle,5,RB,10,18.099999999999998,2023
Dal,6,RB,7,17.25,2023
Den,7,RB,32,37.142857142857146,2023
Det,8,RB,3,15.0,2023
GB,9,RB,30,27.26666666666667,2023
Ten,10,RB,8,17.46666666666667,2023
Ind,11,RB,26,25.0,2023
KC,12,RB,5,15.671428571428573,2023
LV,13,RB,28,25.642857142857142,2023
LAR,14,RB,9,17.5,2023
Mia,15,RB,16,20.24285714285714,2023
